Date,weekly_return
2005-01-16,0.004881069517206127
2005-01-23,-0.0015180428403047674
2005-01-30,0.0185471044303831
2005-02-06,0.018500983096887635
2005-02-13,-0.017180303389407237
2005-02-20,-0.021398471414755704
2005-02-27,0.0
2005-03-06,0.0040033692376444385
2005-03-13,-0.024539310355516264
2005-03-20,0.009119310565361305
2005-03-27,-0.011841549390592121
2005-04-03,0.007568515612394799
2005-04-10,0.0
2005-04-17,0.0
2005-04-24,0.032863961824424415
2005-05-01,0.00987876570840518
2005-05-08,0.007587620972187015
2005-05-15,0.014457266457554185
2005-05-22,0.01900242896684179
2005-05-29,-0.005244757028429414
2005-06-05,0.008494289436678404
2005-06-12,0.0005813184429750429
2005-06-19,-0.00551531884314771
2005-06-26,-0.0011679285896258884
2005-07-03,0.025131674360319378
2005-07-10,0.015108451190276817
2005-07-17,-0.0011232583841060961
2005-07-24,-0.006466179170567132
2005-07-31,0.0006549943018270277
2005-08-07,-0.022006433568889316
2005-08-14,-0.0008767782940203306
2005-08-21,-0.014623903588920184
2005-08-28,0.0068266852194363015
2005-09-04,0.03390334976494502
2005-09-11,0.011975872407698596
2005-09-18,0.01887858922964103
2005-09-25,-0.011614747941733339
2005-10-02,0.0005592072014874994
2005-10-09,-0.024049199265356758
2005-10-16,-0.04584478352657284
2005-10-23,0.0162162908263217
2005-10-30,0.01536589059910698
2005-11-06,0.015206758924011243
2005-11-13,-0.0017383291817947288
2005-11-20,0.009868879251905938
2005-11-27,0.00373682304031564
2005-12-04,0.003436362253856906
2005-12-11,0.00485151918839577
2005-12-18,0.0048280306918782045
2005-12-25,-0.006783692296424504
2006-01-01,-0.01735913500004682
2006-01-08,0.01650745008148613
2006-01-15,-0.005127786475341067
2006-01-22,0.003722583994694828
2006-01-29,0.00627711026703226
2006-02-05,-0.0421566425304416
2006-02-12,0.00029937082074682486
2006-02-19,0.012862668866354454
2006-02-26,0.007973969404744263
2006-03-05,-0.009083460393997211
2006-03-12,-0.016262306346012445
2006-03-19,0.015930039312459954
2006-03-26,-0.021597146900057318
2006-04-02,-0.009071596939555282
2006-04-09,-0.02471780831556214
2006-04-16,-0.015957459599931112
2006-04-23,0.017170167554430904
2006-04-30,0.020006800578133976
2006-05-07,-0.0065158887136419485
2006-05-14,-0.027482612038801424
2006-05-21,0.0016054705453407703
2006-05-28,0.036870714687673445
2006-06-04,0.008658234311744284
2006-06-11,0.00030630674289633397
2006-06-18,-0.003677360900116944
2006-06-25,-0.014457078823802205
2006-07-02,0.0003117819355051843
2006-07-09,0.01747280787351646
2006-07-16,-0.002760345458449498
2006-07-23,0.031058293449914398
2006-07-30,0.008946935616118035
2006-08-06,0.009083616661476945
2006-08-13,-0.010370470853584113
2006-08-20,0.008683106849734168
2006-08-27,-0.0044530471253628745
2006-09-03,0.020274652794300296
2006-09-10,-0.004968197972403443
2006-09-17,0.01527210858333583
2006-09-24,-0.00867804548932305
2006-10-01,0.0055444080514273075
2006-10-08,0.00899548169636688
2006-10-15,0.009203326842379456
2006-10-22,0.019663546721950587
2006-10-29,0.006987363382689349
2006-11-05,0.003418220071198519
2006-11-12,0.008387178277438512
2006-11-19,0.0030497544671239663
2006-11-26,-0.0011056736281567225
2006-12-03,0.005533641410536472
2006-12-10,0.0033024781898749467
2006-12-17,0.01398782029064205
2006-12-24,-0.002434546959817374
2006-12-31,-0.0005422254838397533
2007-01-07,-0.011394275505178464
2007-01-14,-0.005214237949705325
2007-01-21,0.013241382202344498
2007-01-28,-0.00925684441591823
2007-02-04,0.008235878271314778
2007-02-11,0.0024791006328177545
2007-02-18,0.0008244420586587253
2007-02-25,-0.005766340397062697
2007-03-04,-0.0223692822704733
2007-03-11,-0.004237004137994993
2007-03-18,0.003971882896732559
2007-03-25,0.04125405558811002
2007-04-01,-0.005427083627752349
2007-04-08,0.015006478464941075
2007-04-15,0.006721102645142363
2007-04-22,0.019492314250573406
2007-04-29,-0.00026226935549544805
2007-05-06,-0.004125853476495744
2007-05-13,-0.016751306779061337
2007-05-20,0.009464714182490397
2007-05-27,-0.04982608047227399
2007-06-03,0.01127737066128387
2007-06-10,-0.03540589628197022
2007-06-17,0.029191027435037764
2007-06-24,-0.046616095530959134
2007-07-01,0.010014958960155251
2007-07-08,-0.006124209541578662
2007-07-15,0.02318099679082919
2007-07-22,-0.017494303719624127
2007-07-29,-0.013718421825464344
2007-08-05,0.006588648070233738
2007-08-12,0.09042269157850913
2007-08-19,-0.018002968770266192
2007-08-26,0.0033326782095255414
2007-09-02,-0.017441778826238652
2007-09-09,-0.004225595330604959
2007-09-16,0.029993397576352665
2007-09-23,0.017582803188255447
2007-09-30,-0.020518322918393728
2007-10-07,0.012403363576631188
2007-10-14,-0.00217785877334975
2007-10-21,-0.03410663108860412
2007-10-28,0.022599032286199527
2007-11-04,-0.0022918244833032286
2007-11-11,0.003639017769467845
2007-11-18,0.03263649103880839
2007-11-25,0.02755235396658451
2007-12-02,-0.0110410073838213
2007-12-09,0.0340246126228112
2007-12-16,-0.01053976283008351
2007-12-23,0.018446059979452256
2007-12-30,-0.0012754770162475282
2008-01-06,-0.011239194222069981
2008-01-13,0.027125157281875367
2008-01-20,-0.050804935218813574
2008-01-27,-0.0437199427539573
2008-02-03,0.04510095120548874
2008-02-10,-0.04155473590287462
2008-02-17,0.0008392583259790865
2008-02-24,-0.0072667026366290965
2008-03-02,-0.02787148381246196
2008-03-09,-0.00695068555699041
2008-03-16,0.0046666457703681274
2008-03-23,0.04876554835375346
2008-03-30,-0.02103538727652543
