t,weekly_return
2021-05-16,0.02181241324608374
2021-05-23,-0.0019406171162429375
2021-05-30,-0.025665953723507662
2021-06-06,0.012572340850129704
2021-06-13,0.004434371304690599
2021-06-20,-0.022760718139899994
2021-06-27,0.0011043067965064157
2021-07-04,-0.002105896510228522
2021-07-11,0.011556627474625492
2021-07-18,0.04073117424995032
2021-07-25,-0.002768232149675476
2021-08-01,0.006126160620273824
2021-08-08,0.01760060888592907
2021-08-15,-0.008975317875841382
2021-08-22,0.011415094339622511
2021-08-29,-0.02369181979292967
2021-09-05,0.009649374223750895
2021-09-12,-0.02346707040121121
2021-09-19,-0.034205426356589186
2021-09-26,-0.012140062205277524
2021-10-03,0.0
2021-10-10,0.021023765996343702
2021-10-17,-0.001790510295434311
2021-10-24,0.034180368709516795
2021-10-31,-0.0170553093081518
2021-11-07,-0.003234976963042868
2021-11-14,-0.017702596380802627
2021-11-21,-0.014617541049259053
2021-11-28,0.008738061369640393
2021-12-05,0.006043513295729275
2021-12-12,0.016319583500200352
2021-12-19,0.015072406659442539
2021-12-26,-0.0006793478260870289
2022-01-02,0.018743323298048065
2022-01-09,-0.0038131553860820677
2022-01-16,-0.004401913875598074
2022-01-23,-0.010188389081122629
2022-01-30,0.016993590988541474
2022-02-06,-0.0045832139788026804
2022-02-13,-0.043165467625899234
2022-02-20,0.0006015037593984918
2022-02-27,0.004107804829175388
2022-03-06,0.050289363400518816
2022-03-13,0.008360250807524228
2022-03-20,-0.01026945543621638
2022-03-27,0.03883864826273209
2022-04-03,0.03381288371666824
2022-04-10,0.02242510193228142
2022-04-17,-0.004334633723450332
2022-04-24,-0.0049629952111449605
2022-05-01,-0.03605180259012952
2022-05-08,0.010530137981118237
2022-05-15,-0.018145885734818457
2022-05-22,0.004849039341262573
2022-05-29,0.041609760539014884
2022-06-05,-0.028321678321678423
2022-06-12,-0.030496581504138143
2022-06-19,-0.09232625034796327
2022-06-26,0.06859537926804338
2022-07-03,0.04869415478809924
2022-07-10,-0.03384418901660291
2022-07-17,0.014351808138985955
2022-07-24,-0.022805547798566583
2022-07-31,0.04715183844541815
2022-08-07,-0.007004457381970419
2022-08-14,0.009985342616342985
2022-08-21,0.02712018140589567
2022-08-28,-0.03982691628399848
2022-09-04,-0.015910972132806123
2022-09-11,0.02691588785046717
2022-09-18,-0.03431015653440117
2022-09-25,-0.02261803788521355
2022-10-02,-0.10307588467843021
2022-10-09,-0.042463986239518414
2022-10-16,-0.025261030650050476
2022-10-23,0.01888965676111498
2022-10-30,0.06262717612480229
2022-11-06,-0.004148936170212725
2022-11-13,0.016664886230103537
2022-11-20,0.0170221708521594
2022-11-27,0.02923855770224204
2022-12-04,-0.0010038144950813566
2022-12-11,0.00834003215434076
2022-12-18,-9.965122072741472e-05
2022-12-25,0.026410205301973244
2023-01-01,0.0
2023-01-08,0.021264200407806744
2023-01-15,-0.0019015021867275772
2023-01-22,-0.03010097161364078
2023-01-29,-0.0023571007660576626
2023-02-05,-0.009844457570387877
2023-02-12,-0.01461523165639289
2023-02-19,0.0038341237009382745
2023-02-26,-0.025831741883606374
2023-03-05,-0.0157862154354107
2023-03-12,-0.02683719467449419
2023-03-19,0.03834967144242163
2023-03-26,-0.02095653076045234
2023-04-02,0.022252834587262793
2023-04-09,0.03389654814968379
2023-04-16,-0.021054742330058107
2023-04-23,0.007374027038099085
2023-04-30,0.005286701911346059
2023-05-07,0.004854368932038833
2023-05-14,-0.019223027375201207
2023-05-21,-0.05069266290405339
2023-05-28,-0.041184736785212395
2023-06-04,0.01104847801578357
2023-06-11,0.020517395182872322
2023-06-18,0.007211538461538547
2023-06-25,-0.026686916901714097
2023-07-02,0.00022291573785104823
2023-07-09,0.00033429908624915683
2023-07-16,0.03609223571349007
2023-07-23,0.019030211805182162
2023-07-30,-0.015193078708588326
2023-08-06,-0.041568459395757595
2023-08-13,0.04873686563827406
2023-08-20,-0.027925815391174447
2023-08-27,-0.006798245614035192
2023-09-03,-0.02925590638109954
2023-09-10,0.035141589901057424
2023-09-17,0.045704240826192066
2023-09-24,-0.019436856482454412
2023-10-01,-0.05432336869173893
2023-10-08,-0.015182415590301424
2023-10-15,0.02024850437183634
2023-10-22,-0.018606224627875534
2023-10-29,0.005745145352177516
2023-11-05,0.03141779961156166
2023-11-12,-0.02226406734603459
2023-11-19,0.01971224651637038
2023-11-26,0.008110209976669225
2023-12-03,0.02093894644037908
2023-12-10,0.018890328151986102
2023-12-17,0.02373132747113038
2023-12-24,0.002380213184311364
2023-12-31,0.0018583522609953995
2024-01-07,0.015457543281121255
2024-01-14,-0.0008118530545973002
2024-01-21,-0.029453585212268818
2024-01-28,0.0032440351611553453
2024-02-04,0.0036507770939813167
2024-02-11,-0.04707960922885057
2024-02-18,0.0020721998036863365
2024-02-25,0.009251197213757223
2024-03-03,-0.02016607354685651
2024-03-10,0.044904248294078686
2024-03-17,-0.002422582683800356
2024-03-24,-0.001055854714391291
2024-03-31,0.022196385160131005
2024-04-07,-0.008272153862061815
2024-04-14,-0.010530705870086421
2024-04-21,0.035194942044256994
2024-04-28,-0.005394951140065163
2024-05-05,0.026097635861222157
2024-05-12,0.024037502493516882
2024-05-19,0.011882731080159692
2024-05-26,-0.016555972663393925
2024-06-02,0.0137026524420083
2024-06-09,-0.009172540310900756
2024-06-16,-0.002533619177548241
2024-06-23,-0.02461899179366933
2024-06-30,0.00390625
2024-07-07,0.003292427416941024
2024-07-14,0.04803102625298328
2024-07-21,0.014517506404782221
2024-07-28,0.010381593714926973
2024-08-04,0.05452189206701852
